ListingName,Category 1,ListingIcon,Overview,ListingScrapeDate,ListingRank,ListingSellerName
Google Chrome Extension,Browser,https://klue.com/wp-content/uploads/2022/11/Integrations-list-chrome.svg,"Add intel from across the web in one click. Monitor competitor or industry pages. Highlight key text, capture screenshots, and comment.",2024-03-14,Browser - 1,
Microsoft Edge Extension,Browser,https://klue.com/wp-content/uploads/2022/11/Integrations-list-edge-1.svg,"Add intel from across the web in one click. Monitor competitor or industry pages. Highlight key text, capture screenshots, and comment.",2024-03-14,Browser - 2,
Salesforce,CRM,https://klue.com/wp-content/uploads/2022/11/Integration-list-salesforce.svg,Allow sellers to access deal-specific competitor battlecards from any Salesforce object. Capture accurate win-loss data that you can then use to measure your impact on revenue.,2024-03-14,CRM - 1,
Hubspot,CRM,https://klue.com/wp-content/uploads/2022/11/Integrations-list-hubspot.svg,Enables sellers with the latest competitive insights directly within Hubspot.,2024-03-14,CRM - 2,
MS Dynamics,CRM,https://klue.com/wp-content/uploads/2022/12/dynamics.svg,Enables sellers with the latest competitive insights directly within MS Dynamics.,2024-03-14,CRM - 3,
Gong,Call Recording,https://klue.com/wp-content/uploads/2022/11/Integration-list-gong.svg,Capture competitor-specific Gong recordings in Klue and embed them in battlecards as proven talk-tracks.,2024-03-14,Call Recording - 1,
Chorus,Call Recording,https://klue.com/wp-content/uploads/2022/11/Integrations-list-chorus.svg,Capture competitor-specific Chorus recordings in Klue and embed them in battlecards as proven talk-tracks.,2024-03-14,Call Recording - 2,
Slack,Communication,https://klue.com/wp-content/uploads/2022/11/Integration-list-slack.svg,Send valuable intel to Klue from internal Slack posts and threads. Provide quick access to competitive insights right within Slack.,2024-03-14,Communication - 1,
Teams,Communication,https://klue.com/wp-content/uploads/2022/11/Integrations-list-teams.svg,Send valuable intel to Klue from internal conversations in Teams. Provide quick access to competitive insights right within Teams.,2024-03-14,Communication - 2,
Email,Communication,https://klue.com/wp-content/uploads/2022/11/Integrations-list-gmail.svg,Submit intel to Klue by forwarding any email to a secure Klue inmail address.,2024-03-14,Communication - 3,
iOS App,Mobile,https://klue.com/wp-content/uploads/2022/11/Integrations-list-ios.svg,Up-to-date competitive insights at your fingertips. Quickly search for specific answers or review the latest battlecard from your mobile device.,2024-03-14,Mobile - 1,
Android,Mobile,https://klue.com/wp-content/uploads/2022/11/Integrations-list-android.svg,Up-to-date competitive insights at your fingertips. Quickly search for specific answers or review the latest battlecard from your mobile device.,2024-03-14,Mobile - 2,
Okta,SSO,https://klue.com/wp-content/uploads/2022/11/Integrations-list-okta.svg,Integrate Klue with Okta to easily onboard new users and give your organization one-click access to competitive insights.,2024-03-14,SSO - 1,
Google SSO,SSO,https://klue.com/wp-content/uploads/2022/11/Integrations-list-google.svg,Integrate Klue with Google to easily onboard new users and give your organization one-click access to competitive insights.,2024-03-14,SSO - 2,
Highspot,Sales Enablement,https://klue.com/wp-content/uploads/2022/11/Integration-list-highspot.svg,"Present and maintain Klue content, including competitive battlecards, boards, and email digests in Highspot. Updates in Klue are instantly reflected in Highspot.",2024-03-14,Sales Enablement - 1,
Seismic,Sales Enablement,https://klue.com/wp-content/uploads/2022/11/Integration-list-seismic.svg,Enables sellers with the latest competitive insights directly within the Seismic platform.,2024-03-14,Sales Enablement - 2,
Showpad,Sales Enablement,https://klue.com/wp-content/uploads/2022/11/Integration-list-showpad.svg,Enables sellers with the latest competitive insights directly within the Showpad platform.,2024-03-14,Sales Enablement - 3,
Sharepoint,Sales Enablement,https://klue.com/wp-content/uploads/2022/11/Integration-list-sharepoint.svg,Enables sellers with the latest competitive insights directly within the Sharepoint platform.,2024-03-14,Sales Enablement - 4,
